Entry_No,Sample_ID,Reference Doi,Reference Short,Rocktype,Craton,Country,Specific Location,Mineral,Garnet_type,SiO2,TiO2,Al2O3,CaO,Cr2O3,FeO,Fe2O3,MgO,MnO,Na2O,Ni,Sr,T,P
2,Bo-02,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G10,41.9,0.003042614,20.65,4.04,4.78,6.102,0.187,21.98,0.33,0.03,27.32,1.12,912.26,37.57
3,Bo-03,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G9,42.02,0.003199416,21.25,4.99,3.84,6.131,0.188,21.46,0.31,0.03,47.49,0.74,993.2,41.89
4,Bo-04,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G9,41.44,0.005991815,20,5.02,5.91,6.073,0.185,20.36,0.37,0.05,37.98,1.87,983.03,40.48
7,Bo-08,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Porphyroclastic Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G11,42.23,0.40584873,21.88,4.39,2.53,7.26,0.189,21.31,0.38,0.08,37.82,0.24,1195.75,53.28
9,Bo-12,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G9,41.7,0.005076028,19.26,6.06,6.26,6.334,0.296,20.46,0.33,0.02,48.37,1.98,1026.96,46.46
10,Bo-13,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Porphyroclastic Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G9,41.13,0.006875908,20.28,5.36,4.77,5.271,0.699,21.1,0.34,0.03,29.28,2.73,1127.75,51.38
11,Bo-14,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G9,41.97,0.06989339,21.46,4.72,3.4,7.461,0.187,20.45,0.49,0.04,19.23,0.44,897.63,36.66
13,Bo-18,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G9,41.68,0.03536372,20.36,4.99,4.6,6.083,0.186,21.24,0.33,0.05,34.84,3.48,996.86,40.05
15,Bo-20,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G10,41.06,0.007591523,18.93,4.87,6.16,5.855,0.183,21.03,0.32,0.05,62.13,1.82,1011.9,40.07
16,Bo-21,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G9,40.96,0.004909218,20.41,5.19,4.91,6.592,0.265,20.38,0.37,0.04,43.51,3.57,974.97,40.19
17,Bo-26,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G9,40.8,0.08357181,22.3,4.53,2.26,7.487,0.737,20.18,0.44,0.05,18.85,10.56,947.6,39.39
19,Bo-30,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Porphyroclastic Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G9,40.76,0.006964318,19.42,5.74,6.03,5.786,0.182,19.56,0.39,0.04,58.51,7.35,1039.93,55.27
70,AT1104,https://doi.org/10.1016/j.lithos.2009.06.020,Hin et al 2009,Garnet Harzburgite Coarse,Kalahari,South Africa,Venetia,Garnet,G10,42.8,0.07,18.5,3.45,7.64,5.622,0.187,21.8,0.3,0.04,522,6.3,1029.81,51.35
81,AT1101,https://doi.org/10.1016/j.lithos.2009.06.020,Hin et al 2009,Spinel Garnet Lherzolite,Kalahari,South Africa,Venetia,Garnet,G9,42.2,0,20.6,5.86,4.54,6.813,0.186,19.7,0.32,,146,1.4,915.17,39.21
87,Box49,https://doi.org/10.1016/j.lithos.2009.06.020,Hin et al 2009,Spinel Garnet Lherzolite,Kalahari,South Africa,Venetia,Garnet,G9,42.49,0,18.73,6.12,7.11,6.912,0.187,19.53,0.48,0.02,238,3.2,1006.06,50.27
91,AT1102,https://doi.org/10.1016/j.lithos.2009.06.020,Hin et al 2009,Garnet Lherzolite,Kalahari,South Africa,Venetia,Garnet,G11,42.2,0.48,19.4,4.93,4.61,7.274,0.185,20.2,0.26,0.04,304,30,1277.45,54.07
100,B99-56,https://doi.org/10.1016/j.lithos.2009.06.020,Hin et al 2009,Garnet Lherzolite,Kalahari,South Africa,Venetia,Garnet,G9,42.5,0.13,18.6,5.9,6.67,5.943,0.185,20,0.25,,402,1,1453.37,64.75
107,JAG1,http://dx.doi.org/10.1016/j.gca.2008.03.019,Peslier et al 2008,Granoblastic Unsheared Peridotite,Kalahari,South Africa,Jagersfontein,Garnet,G11,42.44,0.537011433,20.9,4.75,2.17,6.702,0.187,21.82,0.25,0.06,116,0.3753,1365.82,61.42
125,LIQ5,http://dx.doi.org/10.1016/j.gca.2008.03.019,Peslier et al 2008,Granoblastic Unsheared Peridotite,Kalahari,Lesotho,Liqhobong,Garnet,G9,42.2,0.022469307,20.1,5.7,5.9,6.131,0.188,21.1,0.01,,46,0.61,1012.63,43.01
129,LIQ11,http://dx.doi.org/10.1016/j.gca.2008.03.019,Peslier et al 2008,Granoblastic Unsheared Peridotite,Kalahari,Lesotho,Liqhobong,Garnet,G9,41.63,0.007106106,20.17,5.38,4.57,5.733,0.741,21.18,0.31,0.02,44,0.358,1173.64,51.53
133,LIQ1,http://dx.doi.org/10.1016/j.gca.2008.03.019,Peslier et al 2008,Granoblastic Unsheared Peridotite,Kalahari,Lesotho,Liqhobong,Garnet,G9,42.26,0.13,19.72,4.74,5.09,6.472,0.186,21.3,0.32,0.04,55,0.457,956.94,38.11
